subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,reactionStatus
39,4,0,0,20,EVENT_NON_MAT_ONCOMING,0
40,1,0,1,2,EVENT_NON_MAT_ONCOMING,1
40,2,1,0,11,EVENT_NON_MAT_ONCOMING,1
40,3,0,0,16,EVENT_NON_MAT_ONCOMING,1
40,4,1,1,22,EVENT_NON_MAT_ONCOMING,1
41,1,0,1,4,EVENT_NON_MAT_ONCOMING,1
41,2,0,0,10,EVENT_NON_MAT_ONCOMING,1
41,3,1,0,16,EVENT_NON_MAT_ONCOMING,1
41,4,1,1,24,EVENT_NON_MAT_ONCOMING,1
43,1,0,0,3,EVENT_NON_MAT_ONCOMING,1
43,2,1,1,8,EVENT_NON_MAT_ONCOMING,0
43,3,1,0,17,EVENT_NON_MAT_ONCOMING,1
43,4,0,1,19,EVENT_NON_MAT_ONCOMING,0
44,1,0,0,1,EVENT_NON_MAT_ONCOMING,1
44,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
44,3,0,1,15,EVENT_NON_MAT_ONCOMING,1
44,4,1,0,20,EVENT_NON_MAT_ONCOMING,0
45,1,0,0,5,EVENT_NON_MAT_ONCOMING,1
45,2,1,0,10,EVENT_NON_MAT_ONCOMING,1
45,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
45,4,0,1,20,EVENT_NON_MAT_ONCOMING,0
46,1,0,0,3,EVENT_NON_MAT_ONCOMING,0
46,2,1,0,12,EVENT_NON_MAT_ONCOMING,0
46,3,0,1,17,EVENT_NON_MAT_ONCOMING,1
46,4,1,1,20,EVENT_NON_MAT_ONCOMING,0
47,1,0,0,6,EVENT_NON_MAT_ONCOMING,1
47,2,0,1,12,EVENT_NON_MAT_ONCOMING,1
47,3,1,1,14,EVENT_NON_MAT_ONCOMING,0
47,4,1,0,22,EVENT_NON_MAT_ONCOMING,1
48,1,0,0,5,EVENT_NON_MAT_ONCOMING,1
48,2,0,1,11,EVENT_NON_MAT_ONCOMING,1
48,3,1,0,13,EVENT_NON_MAT_ONCOMING,0
48,4,1,1,19,EVENT_NON_MAT_ONCOMING,0
49,1,1,0,4,EVENT_NON_MAT_ONCOMING,1
49,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
49,3,0,1,16,EVENT_NON_MAT_ONCOMING,1
49,4,0,0,21,EVENT_NON_MAT_ONCOMING,1
50,1,1,0,6,EVENT_NON_MAT_ONCOMING,1
50,2,0,1,11,EVENT_NON_MAT_ONCOMING,1
50,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
50,4,0,0,21,EVENT_NON_MAT_ONCOMING,1
51,1,0,1,1,EVENT_NON_MAT_ONCOMING,0
51,2,1,1,11,EVENT_NON_MAT_ONCOMING,1
51,3,0,0,15,EVENT_NON_MAT_ONCOMING,1
51,4,1,0,24,EVENT_NON_MAT_ONCOMING,1
52,1,0,1,2,EVENT_NON_MAT_ONCOMING,1
52,2,1,0,12,EVENT_NON_MAT_ONCOMING,1
52,3,0,0,17,EVENT_NON_MAT_ONCOMING,1
52,4,1,1,20,EVENT_NON_MAT_ONCOMING,0
53,1,0,0,3,EVENT_NON_MAT_ONCOMING,0
53,2,1,0,7,EVENT_NON_MAT_ONCOMING,0
53,3,1,1,17,EVENT_NON_MAT_ONCOMING,1
53,4,0,1,23,EVENT_NON_MAT_ONCOMING,1
