subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,ttc,transformedTimeToFirstManoevres
35,2,0,0,8,EVENT_MAT_LEFT_VRU,0.4,2.793648882,6.4
35,3,1,1,15,EVENT_MAT_LEFT_VRU,0.7333,0.266559475,6.7333
35,4,0,1,19,EVENT_MAT_LEFT_VRU,-5.35,6.066665408,0.65
36,1,1,0,5,EVENT_MAT_LEFT_VRU,0.0667,3.082073483,6.0667
36,2,0,0,11,EVENT_MAT_LEFT_VRU,0.2333,2.725957991,6.2333
36,3,0,1,17,EVENT_MAT_LEFT_VRU,-4.4667,6.455966334,1.5333
36,4,1,1,22,EVENT_MAT_LEFT_VRU,-2.9167,4.066404136,3.0833
37,1,0,1,6,EVENT_MAT_LEFT_VRU,-3.0334,7.540599562,2.9666
37,2,1,1,11,EVENT_MAT_LEFT_VRU,0.3666,4.583644659,6.3666
37,3,1,0,15,EVENT_MAT_LEFT_VRU,1.1666,2.016292376,7.1666
37,4,0,0,24,EVENT_MAT_LEFT_VRU,1.0666,2.086174606,7.0666
38,1,0,1,4,EVENT_MAT_LEFT_VRU,-3.5,5.815212198,2.5
38,2,1,1,10,EVENT_MAT_LEFT_VRU,-3.7,7.345248612,2.3
38,3,0,0,15,EVENT_MAT_LEFT_VRU,0.6333,2.57690659,6.6333
38,4,1,0,22,EVENT_MAT_LEFT_VRU,0.3333,2.859872755,6.3333
39,1,0,1,2,EVENT_MAT_LEFT_VRU,0.7,2.327142175,6.7
39,2,1,0,8,EVENT_MAT_LEFT_VRU,1.4,1.821173481,7.4
39,3,1,1,16,EVENT_MAT_LEFT_VRU,1.2167,2.803981196,7.2167
39,4,0,0,23,EVENT_MAT_LEFT_VRU,1.2833,1.885561554,7.2833
40,1,0,1,6,EVENT_MAT_LEFT_VRU,0.3,3.196962079,6.3
40,2,1,0,7,EVENT_MAT_LEFT_VRU,-0.1166,3.342725017,5.8834
40,3,0,0,18,EVENT_MAT_LEFT_VRU,-0.0333,3.232809246,5.9667
40,4,1,1,20,EVENT_MAT_LEFT_VRU,-2.15,6.269894688,3.85
41,1,0,1,2,EVENT_MAT_LEFT_VRU,0.6834,2.698748038,6.6834
41,2,0,0,8,EVENT_MAT_LEFT_VRU,0.5,2.692301329,6.5
41,3,1,0,17,EVENT_MAT_LEFT_VRU,0.2333,2.992262532,6.2333
41,4,1,1,23,EVENT_MAT_LEFT_VRU,0.6167,3.172144055,6.6167
43,1,0,0,5,EVENT_MAT_LEFT_VRU,0.7166,2.476435104,6.7166
43,2,1,1,9,EVENT_MAT_LEFT_VRU,0.35,2.537540882,6.35
43,3,1,0,15,EVENT_MAT_LEFT_VRU,0.5833,2.609045453,6.5833
43,4,0,1,22,EVENT_MAT_LEFT_VRU,1.0667,3.016394216,7.0667
44,1,0,0,5,EVENT_MAT_LEFT_VRU,0.4,2.806318433,6.4
44,2,1,1,8,EVENT_MAT_LEFT_VRU,0.9834,4.660053698,6.9834
44,3,0,1,17,EVENT_MAT_LEFT_VRU,0.7666,3.40909595,6.7666
44,4,1,0,23,EVENT_MAT_LEFT_VRU,0.4833,2.714796444,6.4833
45,1,0,0,3,EVENT_MAT_LEFT_VRU,1.0167,2.174169975,7.0167
45,2,1,0,7,EVENT_MAT_LEFT_VRU,0.4167,2.788288695,6.4167
45,3,1,1,14,EVENT_MAT_LEFT_VRU,-1.8333,6.296949366,4.1667
45,4,0,1,19,EVENT_MAT_LEFT_VRU,-0.1333,2.719597983,5.8667
46,1,0,0,2,EVENT_MAT_LEFT_VRU,0.9167,2.25409287,6.9167
46,2,1,0,11,EVENT_MAT_LEFT_VRU,0.4167,2.771958062,6.4167
46,3,0,1,13,EVENT_MAT_LEFT_VRU,0.8834,1.342757013,6.8834
46,4,1,1,24,EVENT_MAT_LEFT_VRU,0.0166,0.919365087,6.0166
47,1,0,0,5,EVENT_MAT_LEFT_VRU,1.0167,2.196444418,7.0167
47,2,0,1,7,EVENT_MAT_LEFT_VRU,1.0166,3.484680103,7.0166
47,3,1,1,16,EVENT_MAT_LEFT_VRU,-0.85,4.547930105,5.15
47,4,1,0,24,EVENT_MAT_LEFT_VRU,0.6833,2.53036285,6.6833
48,1,0,0,1,EVENT_MAT_LEFT_VRU,0.6333,2.546582543,6.6333
48,2,0,1,8,EVENT_MAT_LEFT_VRU,0.9,2.123109139,6.9
48,3,1,0,17,EVENT_MAT_LEFT_VRU,0.3166,2.887895818,6.3166
48,4,1,1,20,EVENT_MAT_LEFT_VRU,-3.6834,6.731068827,2.3166
49,1,1,0,6,EVENT_MAT_LEFT_VRU,0.6667,2.56943908,6.6667
49,2,1,1,11,EVENT_MAT_LEFT_VRU,-0.3666,4.517631272,5.6334
49,3,0,1,15,EVENT_MAT_LEFT_VRU,-1.35,5.202500317,4.65
49,4,0,0,19,EVENT_MAT_LEFT_VRU,1.15,2.100186864,7.15
50,1,1,0,2,EVENT_MAT_LEFT_VRU,0.4833,2.744451462,6.4833
50,2,0,1,7,EVENT_MAT_LEFT_VRU,1.05,3.527155995,7.05
50,3,1,1,16,EVENT_MAT_LEFT_VRU,-3.9667,7.097240687,2.0333
50,4,0,0,23,EVENT_MAT_LEFT_VRU,0.4833,2.710634839,6.4833
51,1,0,1,4,EVENT_MAT_LEFT_VRU,0.4834,1.837152665,6.4834
51,2,1,1,8,EVENT_MAT_LEFT_VRU,-3.4833,12.23451971,2.5167
51,3,0,0,17,EVENT_MAT_LEFT_VRU,-0.35,3.547152503,5.65
51,4,1,0,22,EVENT_MAT_LEFT_VRU,0.1,3.11254718,6.1
52,1,0,1,3,EVENT_MAT_LEFT_VRU,-2.3,3.692199974,3.7
52,2,1,0,8,EVENT_MAT_LEFT_VRU,-1.05,4.227488615,4.95
52,3,0,0,14,EVENT_MAT_LEFT_VRU,0.3167,2.870661393,6.3167
52,4,1,1,19,EVENT_MAT_LEFT_VRU,-3.4666,4.994622827,2.5334
53,1,0,0,6,EVENT_MAT_LEFT_VRU,-1.6167,5.124143615,4.3833
53,2,1,0,12,EVENT_MAT_LEFT_VRU,-2.1834,6.130521211,3.8166
53,3,1,1,14,EVENT_MAT_LEFT_VRU,0.1834,5.829920768,6.1834
53,4,0,1,20,EVENT_MAT_LEFT_VRU,-2.2666,8.499386758,3.7334
