subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
44,3,0,1,13,EVENT_NON_MAT_RIGHT_VRU,1.631259
44,4,1,0,24,EVENT_NON_MAT_RIGHT_VRU,0.642951
45,1,0,0,4,EVENT_NON_MAT_RIGHT_VRU,0.625766
45,2,1,0,12,EVENT_NON_MAT_RIGHT_VRU,0.625782
45,3,1,1,16,EVENT_NON_MAT_RIGHT_VRU,1.847082
45,4,0,1,24,EVENT_NON_MAT_RIGHT_VRU,0.360044
46,1,0,0,1,EVENT_NON_MAT_RIGHT_VRU,2.596836
46,2,1,0,10,EVENT_NON_MAT_RIGHT_VRU,1.062871
46,3,0,1,15,EVENT_NON_MAT_RIGHT_VRU,0.865728
46,4,1,1,21,EVENT_NON_MAT_RIGHT_VRU,0.011025
47,1,0,0,2,EVENT_NON_MAT_RIGHT_VRU,4.035163
47,2,0,1,8,EVENT_NON_MAT_RIGHT_VRU,1.823247
47,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,4.788717
48,1,0,0,4,EVENT_NON_MAT_RIGHT_VRU,0.081586
48,2,0,1,10,EVENT_NON_MAT_RIGHT_VRU,0.008369
48,3,1,0,15,EVENT_NON_MAT_RIGHT_VRU,0.291463
48,4,1,1,23,EVENT_NON_MAT_RIGHT_VRU,0.791
49,1,1,0,2,EVENT_NON_MAT_RIGHT_VRU,0.300035
49,2,1,1,10,EVENT_NON_MAT_RIGHT_VRU,0.12859
49,3,0,1,14,EVENT_NON_MAT_RIGHT_VRU,2.573767
49,4,0,0,22,EVENT_NON_MAT_RIGHT_VRU,0
50,1,1,0,4,EVENT_NON_MAT_RIGHT_VRU,0.240027
50,2,0,1,12,EVENT_NON_MAT_RIGHT_VRU,0.060008
50,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,2.881199
50,4,0,0,22,EVENT_NON_MAT_RIGHT_VRU,0.325769
51,1,0,1,3,EVENT_NON_MAT_RIGHT_VRU,0.685799
51,2,1,1,9,EVENT_NON_MAT_RIGHT_VRU,0
51,3,0,0,14,EVENT_NON_MAT_RIGHT_VRU,0.151522
51,4,1,0,23,EVENT_NON_MAT_RIGHT_VRU,0.111446
52,1,0,1,4,EVENT_NON_MAT_RIGHT_VRU,0.171447
52,2,1,0,11,EVENT_NON_MAT_RIGHT_VRU,1.508714
52,3,0,0,16,EVENT_NON_MAT_RIGHT_VRU,0.102869
52,4,1,1,21,EVENT_NON_MAT_RIGHT_VRU,0
53,1,0,0,1,EVENT_NON_MAT_RIGHT_VRU,2.096074
53,2,1,0,11,EVENT_NON_MAT_RIGHT_VRU,0.743766
53,3,1,1,13,EVENT_NON_MAT_RIGHT_VRU,0
53,4,0,1,24,EVENT_NON_MAT_RIGHT_VRU,1.928853
