subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
50,3,1,1,16,EVENT_MAT_LEFT_VRU,4.31214
50,4,0,0,23,EVENT_MAT_LEFT_VRU,3.789203
51,1,0,1,4,EVENT_MAT_LEFT_VRU,2.185994
51,2,1,1,8,EVENT_MAT_LEFT_VRU,0.274329
51,3,0,0,17,EVENT_MAT_LEFT_VRU,0.649087
51,4,1,0,22,EVENT_MAT_LEFT_VRU,0
52,1,0,1,3,EVENT_MAT_LEFT_VRU,0
52,2,1,0,8,EVENT_MAT_LEFT_VRU,0.788671
52,3,0,0,14,EVENT_MAT_LEFT_VRU,0.614965
52,4,1,1,19,EVENT_MAT_LEFT_VRU,0.325755
53,1,0,0,6,EVENT_MAT_LEFT_VRU,1.337329
53,2,1,0,12,EVENT_MAT_LEFT_VRU,0.051171
53,3,1,1,14,EVENT_MAT_LEFT_VRU,1.363053
53,4,0,1,20,EVENT_MAT_LEFT_VRU,1.028724
