subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
43,4,0,1,19,EVENT_NON_MAT_ONCOMING,0.581104
44,1,0,0,1,EVENT_NON_MAT_ONCOMING,0
44,2,1,1,12,EVENT_NON_MAT_ONCOMING,0.748217
44,3,0,1,15,EVENT_NON_MAT_ONCOMING,0.522929
44,4,1,0,20,EVENT_NON_MAT_ONCOMING,0.848699
45,1,0,0,5,EVENT_NON_MAT_ONCOMING,0.816775
45,2,1,0,10,EVENT_NON_MAT_ONCOMING,0.023976
45,3,1,1,18,EVENT_NON_MAT_ONCOMING,0.025083
45,4,0,1,20,EVENT_NON_MAT_ONCOMING,0.060158
46,1,0,0,3,EVENT_NON_MAT_ONCOMING,0.100129
46,2,1,0,12,EVENT_NON_MAT_ONCOMING,0.445435
46,3,0,1,17,EVENT_NON_MAT_ONCOMING,0.017143
46,4,1,1,20,EVENT_NON_MAT_ONCOMING,0
47,1,0,0,6,EVENT_NON_MAT_ONCOMING,3.696578
47,2,0,1,12,EVENT_NON_MAT_ONCOMING,0
47,3,1,1,14,EVENT_NON_MAT_ONCOMING,2.925292
48,1,0,0,5,EVENT_NON_MAT_ONCOMING,1.903126
48,2,0,1,11,EVENT_NON_MAT_ONCOMING,0.360049
48,3,1,0,13,EVENT_NON_MAT_ONCOMING,0.231457
48,4,1,1,19,EVENT_NON_MAT_ONCOMING,1.123
49,1,1,0,4,EVENT_NON_MAT_ONCOMING,0.017145
49,2,1,1,12,EVENT_NON_MAT_ONCOMING,0
49,3,0,1,16,EVENT_NON_MAT_ONCOMING,3.404291
49,4,0,0,21,EVENT_NON_MAT_ONCOMING,0.053391
50,1,1,0,6,EVENT_NON_MAT_ONCOMING,1.097257
50,2,0,1,11,EVENT_NON_MAT_ONCOMING,0
50,3,1,1,18,EVENT_NON_MAT_ONCOMING,0.677256
50,4,0,0,21,EVENT_NON_MAT_ONCOMING,1.218441
51,1,0,1,1,EVENT_NON_MAT_ONCOMING,0
51,2,1,1,11,EVENT_NON_MAT_ONCOMING,0.0943
51,3,0,0,15,EVENT_NON_MAT_ONCOMING,0.145735
51,4,1,0,24,EVENT_NON_MAT_ONCOMING,0.608664
52,1,0,1,2,EVENT_NON_MAT_ONCOMING,0.031325
52,2,1,0,12,EVENT_NON_MAT_ONCOMING,0.291465
52,3,0,0,17,EVENT_NON_MAT_ONCOMING,0.624204
52,4,1,1,20,EVENT_NON_MAT_ONCOMING,0.017145
53,1,0,0,3,EVENT_NON_MAT_ONCOMING,0.042863
53,2,1,0,7,EVENT_NON_MAT_ONCOMING,0.565801
53,3,1,1,17,EVENT_NON_MAT_ONCOMING,1.038327
53,4,0,1,23,EVENT_NON_MAT_ONCOMING,1.003006
