subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstManoevres,ttc
30,4,1,0,21,EVENT_MAT_RIGHT_VRU,-0.0667,3.9333,6.846189866
31,1,1,0,2,EVENT_MAT_RIGHT_VRU,0.9833,4.9833,2.689437908
31,3,0,1,16,EVENT_MAT_RIGHT_VRU,-0.1167,3.8833,4.106346757
31,4,0,0,24,EVENT_MAT_RIGHT_VRU,0.1,4.1,3.561871023
32,1,1,0,1,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.81369368
32,2,1,1,12,EVENT_MAT_RIGHT_VRU,1.9833,5.9833,5.534546055
32,3,0,0,18,EVENT_MAT_RIGHT_VRU,0.85,4.85,2.803196848
32,4,0,1,22,EVENT_MAT_RIGHT_VRU,-0.4667,3.5333,8.642605596
33,1,1,0,2,EVENT_MAT_RIGHT_VRU,1.3333,5.3333,2.301457708
33,2,0,1,7,EVENT_MAT_RIGHT_VRU,1.2,5.2,2.852529729
33,3,1,1,16,EVENT_MAT_RIGHT_VRU,0.5333,4.5333,2.328012763
33,4,0,0,21,EVENT_MAT_RIGHT_VRU,0.75,4.75,2.879401448
34,1,1,0,2,EVENT_MAT_RIGHT_VRU,0.55,4.55,3.101714948
34,2,0,1,8,EVENT_MAT_RIGHT_VRU,0.4833,4.4833,4.453173812
34,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.4,4.4,3.258599273
34,4,1,1,22,EVENT_MAT_RIGHT_VRU,-0.9666,3.0334,4.791446999
35,1,1,0,6,EVENT_MAT_RIGHT_VRU,0.85,4.85,2.796559557
35,2,0,0,7,EVENT_MAT_RIGHT_VRU,0.45,4.45,3.239833975
35,3,1,1,14,EVENT_MAT_RIGHT_VRU,,,
35,4,0,1,21,EVENT_MAT_RIGHT_VRU,0.7833,4.7833,1.07125804
36,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.5333,4.5333,3.125050797
36,2,0,0,8,EVENT_MAT_RIGHT_VRU,0.6833,4.6833,2.982631674
36,3,0,1,16,EVENT_MAT_RIGHT_VRU,-3.6,0.4,4.525831193
36,4,1,1,19,EVENT_MAT_RIGHT_VRU,,,
37,1,0,1,1,EVENT_MAT_RIGHT_VRU,1.9,5.9,4.648265429
