subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
48,3,1,0,18,EVENT_MAT_RIGHT_VRU,1.838285
48,4,1,1,22,EVENT_MAT_RIGHT_VRU,3.411861
49,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.111728
49,2,1,1,7,EVENT_MAT_RIGHT_VRU,0.231463
49,3,0,1,18,EVENT_MAT_RIGHT_VRU,0.67123
49,4,0,0,20,EVENT_MAT_RIGHT_VRU,3.197567
50,1,1,0,1,EVENT_MAT_RIGHT_VRU,1.492833
50,2,0,1,10,EVENT_MAT_RIGHT_VRU,0.488638
50,3,1,1,14,EVENT_MAT_RIGHT_VRU,1.560257
50,4,0,0,20,EVENT_MAT_RIGHT_VRU,3.077696
51,1,0,1,5,EVENT_MAT_RIGHT_VRU,0.766508
51,2,1,1,12,EVENT_MAT_RIGHT_VRU,0.797264
51,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.085725
51,4,1,0,21,EVENT_MAT_RIGHT_VRU,0
52,1,0,1,6,EVENT_MAT_RIGHT_VRU,0.334324
52,2,1,0,9,EVENT_MAT_RIGHT_VRU,2.378548
52,3,0,0,18,EVENT_MAT_RIGHT_VRU,0.702938
52,4,1,1,24,EVENT_MAT_RIGHT_VRU,0.435133
53,1,0,0,2,EVENT_MAT_RIGHT_VRU,1.447227
53,2,1,0,8,EVENT_MAT_RIGHT_VRU,0.711537
53,3,1,1,15,EVENT_MAT_RIGHT_VRU,0
53,4,0,1,21,EVENT_MAT_RIGHT_VRU,2.0403
