subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
44,3,0,1,16,EVENT_NON_MAT_LEFT_VRU,2.280713
44,4,1,0,22,EVENT_NON_MAT_LEFT_VRU,2.657536
45,1,0,0,2,EVENT_NON_MAT_LEFT_VRU,2.104991
45,2,1,0,8,EVENT_NON_MAT_LEFT_VRU,0.128586
45,3,1,1,15,EVENT_NON_MAT_LEFT_VRU,1.028694
45,4,0,1,21,EVENT_NON_MAT_LEFT_VRU,1.714493
46,1,0,0,5,EVENT_NON_MAT_LEFT_VRU,1.875268
46,2,1,0,9,EVENT_NON_MAT_LEFT_VRU,0
46,3,0,1,14,EVENT_NON_MAT_LEFT_VRU,2.2975
46,4,1,1,22,EVENT_NON_MAT_LEFT_VRU,1.415059
47,1,0,0,3,EVENT_NON_MAT_LEFT_VRU,3.68056
47,2,0,1,11,EVENT_NON_MAT_LEFT_VRU,3.326017
47,3,1,1,18,EVENT_NON_MAT_LEFT_VRU,1.823623
48,1,0,0,6,EVENT_NON_MAT_LEFT_VRU,2.232645
48,2,0,1,7,EVENT_NON_MAT_LEFT_VRU,3.669091
48,3,1,0,14,EVENT_NON_MAT_LEFT_VRU,0.445767
48,4,1,1,24,EVENT_NON_MAT_LEFT_VRU,1.502668
49,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0.126964
49,2,1,1,9,EVENT_NON_MAT_LEFT_VRU,1.212343
49,3,0,1,17,EVENT_NON_MAT_LEFT_VRU,0.865816
49,4,0,0,24,EVENT_NON_MAT_LEFT_VRU,0.019348
50,1,1,0,3,EVENT_NON_MAT_LEFT_VRU,0.306013
50,2,0,1,9,EVENT_NON_MAT_LEFT_VRU,1.843112
50,3,1,1,13,EVENT_NON_MAT_LEFT_VRU,4.389292
50,4,0,0,24,EVENT_NON_MAT_LEFT_VRU,2.68087
51,1,0,1,6,EVENT_NON_MAT_LEFT_VRU,0.805822
51,2,1,1,7,EVENT_NON_MAT_LEFT_VRU,1.783144
51,3,0,0,16,EVENT_NON_MAT_LEFT_VRU,1.388765
51,4,1,0,20,EVENT_NON_MAT_LEFT_VRU,0.068582
52,1,0,1,5,EVENT_NON_MAT_LEFT_VRU,2.11738
52,2,1,0,10,EVENT_NON_MAT_LEFT_VRU,2.828923
52,3,0,0,15,EVENT_NON_MAT_LEFT_VRU,0.831524
52,4,1,1,22,EVENT_NON_MAT_LEFT_VRU,0
53,1,0,0,5,EVENT_NON_MAT_LEFT_VRU,1.502668
53,2,1,0,9,EVENT_NON_MAT_LEFT_VRU,0.596316
53,3,1,1,16,EVENT_NON_MAT_LEFT_VRU,0.034291
53,4,0,1,22,EVENT_NON_MAT_LEFT_VRU,2.54609
